"","labels","phrase","K"
"769",2005,"on the edge of significance",1
"770",2005,"on the margin of significance",2
"771",2005,"on the threshold of significance",2
"772",2005,"only marginally significant",165
"773",2005,"only slightly missed the significance level",1
"774",2005,"only slightly significant",2
"775",2005,"partially significant",1
"776",2005,"possible significance",38
"777",2005,"possibly significant",11
"778",2005,"possibly statistically significant",1
"779",2005,"potentially significant",135
"780",2005,"practically significant",14
"781",2005,"probably not significant",9
"782",2005,"probably significant",9
"783",2005,"questionably significant",2
"784",2005,"quite significant",80
"785",2005,"reached borderline significance",22
"786",2005,"reached near significance",4
"787",2005,"reasonably significant",1
"788",2005,"significant tendency",154
"789",2005,"significantly significant",12
"790",2005,"slightly outside the range of significance",1
"791",2005,"slightly significant",21
"792",2005,"somewhat significant",3
"793",2005,"strong trend toward significance",1
"794",2005,"suggestively significant",2
"795",2005,"tend to significant",3
"796",2005,"tended to be significant",44
"797",2005,"tended toward significance",10
"798",2005,"tendency toward significance",10
"799",2005,"tendency toward statistical significance",5
"800",2005,"trending towards significance",2
"801",2005,"uncertain significance",44
"802",2005,"very close to significant",2
"803",2005,"weak significance",4
"804",2005,"weakly significant",24
"805",2008,"a borderline significant trend",3
"806",2008,"a clear trend",175
"807",2008,"a decreasing trend",120
"808",2008,"a definite trend",11
"809",2008,"a favorable trend",36
"810",2008,"a marginal trend",11
"811",2008,"a marginal trend toward significance",1
"812",2008,"a marked trend",6
"813",2008,"a mild trend",7
"814",2008,"a near-significant trend",2
"815",2008,"a negative trend",37
"816",2008,"a nonsignificant trend",494
"817",2008,"a notable trend",6
"818",2008,"a numerical trend",17
"819",2008,"a positive trend",124
"820",2008,"a possible trend",38
"821",2008,"a possible trend toward significance",1
"822",2008,"a pronounced trend",3
"823",2008,"a reliable trend",1
"824",2008,"a significant trend",137
"825",2008,"a slight trend",100
"826",2008,"a slight trend toward significance",1
"827",2008,"a slightly increasing trend",2
"828",2008,"a small trend",29
"829",2008,"a statistical trend",105
"830",2008,"a statistical trend toward significance",1
"831",2008,"a strong trend",250
"832",2008,"a strong trend toward significance",7
"833",2008,"a suggestive trend",3
"834",2008,"a trend significance level",1
"835",2008,"a trend that approached significance",4
"836",2008,"a weak trend",48
"837",2008,"a worrying trend",1
"838",2008,"all but significant",812
"839",2008,"almost achieved significance",1
"840",2008,"almost clinically significant",2
"841",2008,"almost reached statistical significance",25
"842",2008,"almost significant",82
"843",2008,"almost statistically significant",13
"844",2008,"an adverse trend",5
"845",2008,"an apparent trend",24
"846",2008,"an encouraging trend",6
"847",2008,"an evident trend",2
"848",2008,"an expected trend",2
"849",2008,"an important trend",6
"850",2008,"an increasing trend",124
"851",2008,"an interesting trend",18
"852",2008,"an observed trend",13
"853",2008,"an obvious trend",4
"854",2008,"an overall trend",53
"855",2008,"an unexpected trend",3
"856",2008,"an unexplained trend",1
"857",2008,"an unfavorable trend",2
"858",2008,"approached conventional levels of significance",2
"859",2008,"approached our criterion of significance",1
"860",2008,"approached significant",6
"861",2008,"approaches statistical significance",7
"862",2008,"approaching but not reaching significance",2
"863",2008,"approaching significance",89
"864",2008,"at the limit of significance",8
"865",2008,"at the margin of significance",1
"866",2008,"at the margin of statistical significance",1
"867",2008,"barely insignificant",1
"868",2008,"barely missed statistical significance",3
"869",2008,"barely significant",15
"870",2008,"bordered on being significant",1
"871",2008,"bordered on significant",1
"872",2008,"borderline level of statistical significance",1
"873",2008,"close to being significant",12
"874",2008,"close to the level of significance",5
"875",2008,"close to the limit of significance",2
"876",2008,"did not quite reach a statistically significant level",1
"877",2008,"did not quite reach statistical significance",53
"878",2008,"difference was apparent",49
"879",2008,"failed to reach statistical significance",299
"880",2008,"fairly significant",12
"881",2008,"fell just short of significance",6
"882",2008,"fell just short of statistical significance",6
"883",2008,"fell short of significance",24
"884",2008,"fell slightly short of significance",1
"885",2008,"felt short of significance",2
"886",2008,"indeterminate significance",1
"887",2008,"just borderline significant",1
"888",2008,"just escaped significance",1
"889",2008,"just failed significance",2
"890",2008,"just failed to be significant",5
"891",2008,"just failed to reach statistical significance",15
"892",2008,"just failing to reach statistical significance",1
"893",2008,"just marginally significant",1
"894",2008,"just short of significance",8
"895",2008,"likely to be significant",45
"896",2008,"marginal significance",116
"897",2008,"marginally insignificant",10
"898",2008,"marginally nonsignificant",8
"899",2008,"marginally significant",941
"900",2008,"marginally statistically significant",32
"901",2008,"moderately significant",12
"902",2008,"modestly significant",6
"903",2008,"narrowly missed significance",5
"904",2008,"near significance",15
"905",2008,"near to statistical significance",1
"906",2008,"near-significant",68
"907",2008,"nearing significance",3
"908",2008,"nearly significant",173
"909",2008,"nominally significant",74
"910",2008,"not as significant",30
"911",2008,"not conventionally significant",2
"912",2008,"not entirely significant",1
"913",2008,"not formally significant",1
"914",2008,"not fully significant",1
"915",2008,"not highly significant",2
"916",2008,"not non-significant",1
"917",2008,"not quite reach the level of significance",1
"918",2008,"not quite significant",30
"919",2008,"not strictly significant",1
"920",2008,"not strongly significant",1
"921",2008,"not unequivocally significant",1
"922",2008,"not very significant",6
"923",2008,"not yet significant",4
"924",2008,"on the border of significance",4
"925",2008,"on the borderline of significance",3
"926",2008,"on the margin of significance",2
"927",2008,"on the threshold of significance",1
"928",2008,"on the verge of significance",1
"929",2008,"only just missed significance at the 5% level",1
"930",2008,"only marginally significant",133
"931",2008,"only slightly significant",1
"932",2008,"partial significance",1
"933",2008,"partially significant",2
"934",2008,"partly significant",2
"935",2008,"possible significance",24
"936",2008,"possibly significant",13
"937",2008,"possibly statistically significant",3
"938",2008,"potentially significant",124
"939",2008,"practically significant",20
"940",2008,"probably not significant",10
"941",2008,"probably not statistically significant",1
"942",2008,"probably significant",1
"943",2008,"quasi-significant",2
"944",2008,"quite significant",63
"945",2008,"rather marginal significance",1
"946",2008,"reached borderline significance",24
"947",2008,"reached near significance",1
"948",2008,"scarcely significant",2
"949",2008,"significant tendency",103
"950",2008,"significantly significant",16
"951",2008,"slight significance",1
"952",2008,"slightly missed statistical significance",1
"953",2008,"slightly significant",16
"954",2008,"somewhat significant",1
"955",2008,"strong trend toward significance",7
"956",2008,"suggestively significant",1
"957",2008,"tend to significant",3
"958",2008,"tended to be significant",19
"959",2008,"tended toward significance",8
"960",2008,"tendency toward significance",7
"961",2008,"tendency toward statistical significance",1
"962",2008,"trend significance level",1
"963",2008,"trending towards significance",3
"964",2008,"uncertain significance",43
"965",2008,"verged on being significant",1
"966",2008,"verging on significance",1
"967",2008,"very close to significant",2
"968",2008,"very nearly significant",2
"969",2008,"weak significance",1
"970",2008,"weakly significant",17
"971",2011,"a borderline significant trend",5
"972",2011,"a clear trend",215
"973",2011,"a decreasing trend",149
"974",2011,"a definite trend",9
"975",2011,"a favorable trend",40
"976",2011,"a marginal trend",14
"977",2011,"a marginal trend toward significance",1
"978",2011,"a marked trend",6
"979",2011,"a mild trend",2
"980",2011,"a near-significant trend",8
"981",2011,"a negative trend",32
"982",2011,"a nonsignificant trend",544
"983",2011,"a notable trend",8
"984",2011,"a numerical trend",34
"985",2011,"a positive trend",187
"986",2011,"a possible trend",31
"987",2011,"a pronounced trend",2
"988",2011,"a reliable trend",1
"989",2011,"a significant trend",161
"990",2011,"a slight trend",109
"991",2011,"a slightly increasing trend",6
"992",2011,"a small trend",25
"993",2011,"a statistical trend",132
"994",2011,"a strong trend",268
"995",2011,"a strong trend toward significance",4
"996",2011,"a suggestive trend",4
"997",2011,"a trend that approached significance",2
"998",2011,"a weak trend",45
"999",2011,"a worrying trend",2
"1000",2011,"all but significant",909
"1001",2011,"almost approached significance",1
"1002",2011,"almost clinically significant",2
"1003",2011,"almost insignificant",2
"1004",2011,"almost reached statistical significance",22
"1005",2011,"almost significant",103
"1006",2011,"almost statistically significant",17
"1007",2011,"an adverse trend",4
"1008",2011,"an apparent trend",21
"1009",2011,"an associative trend",1
"1010",2011,"an encouraging trend",4
"1011",2011,"an evident trend",1
"1012",2011,"an expected trend",4
"1013",2011,"an important trend",11
"1014",2011,"an increasing trend",179
"1015",2011,"an interesting trend",15
"1016",2011,"an observed trend",8
"1017",2011,"an obvious trend",13
"1018",2011,"an overall trend",64
"1019",2011,"an unexpected trend",9
"1020",2011,"an unexplained trend",1
"1021",2011,"an unfavorable trend",3
"1022",2011,"appeared to be marginally significant",1
"1023",2011,"approached conventional levels of significance",3
"1024",2011,"approached significant",8
"1025",2011,"approaches statistical significance",3
"1026",2011,"approaching clinical significance",2
"1027",2011,"approaching significance",133
"1028",2011,"approximately significant",2
"1029",2011,"at the limit of significance",6
"1030",2011,"at the limits of significance",1
"1031",2011,"at the margin of statistical significance",3
"1032",2011,"barely missed statistical significance",1
"1033",2011,"barely significant",21
"1034",2011,"better trends of improvement",1
"1035",2011,"bordered on being significant",1
"1036",2011,"borderline level of statistical significance",1
"1037",2011,"borderline significant trends",1
"1038",2011,"close to being significant",12
"1039",2011,"close to the level of significance",1
"1040",2011,"did not quite achieve significance",1
"1041",2011,"did not quite reach statistical significance",39
"1042",2011,"difference was apparent",41
"1043",2011,"effectively significant",2
"1044",2011,"equivocal significance",2
"1045",2011,"failed to reach statistical significance",384
"1046",2011,"fairly significant",4
"1047",2011,"fell just short of significance",4
"1048",2011,"fell just short of statistical significance",12
"1049",2011,"fell narrowly short of significance",1
"1050",2011,"fell short of significance",26
"1051",2011,"indicative significance",1
"1052",2011,"just failed significance",1
"1053",2011,"just failed to be significant",1
"1054",2011,"just failed to reach statistical significance",21
"1055",2011,"just failing to reach statistical significance",1
"1056",2011,"just marginally significant",2
"1057",2011,"just missed being statistically significant",1
"1058",2011,"just short of significance",12
"1059",2011,"leaning towards significance",2
"1060",2011,"likely to be significant",57
"1061",2011,"marginal significance",136
"1062",2011,"marginally insignificant",12
"1063",2011,"marginally nonsignificant",17
"1064",2011,"marginally significant",1253
"1065",2011,"marginally statistically significant",57
"1066",2011,"moderately significant",17
"1067",2011,"modestly significant",9
"1068",2011,"narrowly escaped significance",1
"1069",2011,"narrowly missed significance",4
"1070",2011,"narrowly missed the significance level",1
"1071",2011,"near nominal significance",1
"1072",2011,"near significance",26
"1073",2011,"near to statistical significance",4
"1074",2011,"near-marginal significance",1
"1075",2011,"near-significant",101
"1076",2011,"nearing significance",11
"1077",2011,"nearly significant",210
"1078",2011,"nominally significant",130
"1079",2011,"not as significant",26
"1080",2011,"not formally significant",3
"1081",2011,"not fully significant",3
"1082",2011,"not highly significant",1
"1083",2011,"not quite significant",34
"1084",2011,"not strictly significant",1
"1085",2011,"not strongly significant",1
"1086",2011,"not that significant",3
"1087",2011,"not very significant",4
"1088",2011,"not yet significant",7
"1089",2011,"on the borderline of significance",2
"1090",2011,"on the margin of significance",1
"1091",2011,"on the threshold of significance",1
"1092",2011,"on the verge of significance",1
"1093",2011,"only marginally significant",175
"1094",2011,"only slightly significant",3
"1095",2011,"partially significant",4
"1096",2011,"partly significant",5
"1097",2011,"possible significance",30
"1098",2011,"possibly significant",18
"1099",2011,"potentially significant",179
"1100",2011,"practically significant",30
"1101",2011,"probably not significant",2
"1102",2011,"probably not statistically significant",1
"1103",2011,"probably significant",5
"1104",2011,"questionably significant",1
"1105",2011,"quite significant",74
"1106",2011,"reached borderline significance",33
"1107",2011,"reasonably significant",3
"1108",2011,"scarcely significant",1
"1109",2011,"significant tendency",127
"1110",2011,"significantly significant",12
"1111",2011,"slight significance",1
"1112",2011,"slightly insignificant",2
"1113",2011,"slightly significant",27
"1114",2011,"somewhat significant",2
"1115",2011,"strong trend toward significance",4
"1116",2011,"suggestive of statistical significance",3
"1117",2011,"suggestively significant",2
"1118",2011,"tend to significant",3
"1119",2011,"tended to be significant",41
"1120",2011,"tended toward significance",5
"1121",2011,"tendency toward significance",12
"1122",2011,"tendency toward statistical significance",3
"1123",2011,"trend significance level",2
"1124",2011,"trending towards significance",11
"1125",2011,"uncertain significance",35
"1126",2011,"verging on significance",1
"1127",2011,"very close to significant",1
"1128",2011,"very nearly significant",1
"1129",2011,"virtually significant",1
"1130",2011,"weak significance",3
"1131",2011,"weakly significant",11
"1132",2011,"weakly statistically significant",1
"1133",2014,"a borderline significant trend",8
"1134",2014,"a clear trend",219
"1135",2014,"a decreasing trend",176
"1136",2014,"a definite trend",4
"1137",2014,"a favorable trend",42
"1138",2014,"a marginal trend",16
"1139",2014,"a marginal trend toward significance",4
"1140",2014,"a marked trend",7
"1141",2014,"a mild trend",5
"1142",2014,"a near-significant trend",8
"1143",2014,"a negative trend",41
"1144",2014,"a nonsignificant trend",533
"1145",2014,"a notable trend",13
"1146",2014,"a numerical trend",39
"1147",2014,"a positive trend",196
"1148",2014,"a possible trend",33
"1149",2014,"a pronounced trend",3
"1150",2014,"a reliable trend",2
"1151",2014,"a robust trend toward significance",1
"1152",2014,"a significant trend",172
"1153",2014,"a slight trend",118
"1154",2014,"a slight trend toward significance",1
"1155",2014,"a slightly increasing trend",2
"1156",2014,"a small trend",20
"1157",2014,"a statistical trend",142
"1158",2014,"a statistical trend toward significance",2
"1159",2014,"a strong trend",238
"1160",2014,"a strong trend toward significance",2
"1161",2014,"a suggestive trend",4
"1162",2014,"a trend that approached significance",1
"1163",2014,"a weak trend",49
"1164",2014,"a weak trend toward significance",1
"1165",2014,"a worrying trend",3
"1166",2014,"all but significant",922
"1167",2014,"almost clinically significant",1
"1168",2014,"almost reached statistical significance",34
"1169",2014,"almost significant",115
"1170",2014,"almost significant tendency",1
"1171",2014,"almost statistically significant",14
"1172",2014,"an apparent trend",13
"1173",2014,"an elevated trend",1
"1174",2014,"an encouraging trend",11
"1175",2014,"an evident trend",2
"1176",2014,"an expected trend",3
"1177",2014,"an important trend",8
"1178",2014,"an increasing trend",252
"1179",2014,"an interesting trend",26
"1180",2014,"an observed trend",7
"1181",2014,"an obvious trend",7
"1182",2014,"an overall trend",83
"1183",2014,"an unexpected trend",8
"1184",2014,"an unfavorable trend",4
"1185",2014,"appeared to be marginally significant",1
"1186",2014,"approached conventional levels of significance",2
"1187",2014,"approached significant",12
"1188",2014,"approaches statistical significance",5
"1189",2014,"approaching borderline significance",1
"1190",2014,"approaching clinical significance",1
"1191",2014,"approaching significance",125
"1192",2014,"approximately significant",1
"1193",2014,"at the edge of significance",2
"1194",2014,"at the limit of significance",8
"1195",2014,"at the margin of statistical significance",1
"1196",2014,"barely missed statistical significance",4
"1197",2014,"barely significant",13
"1198",2014,"better trends of improvement",1
"1199",2014,"borderline level of statistical significance",1
"1200",2014,"borderline significant trends",1
"1201",2014,"close to being significant",5
"1202",2014,"close to the level of significance",1
"1203",2014,"close to the limit of significance",1
"1204",2014,"close to the margin of statistical significance",1
"1205",2014,"did not quite reach a statistically significant level",1
"1206",2014,"did not quite reach conventional levels of statistical significance",1
"1207",2014,"did not quite reach statistical significance",24
"1208",2014,"difference was apparent",42
"1209",2014,"equivocal significance",1
"1210",2014,"failed to reach significance on this occasion",1
"1211",2014,"failed to reach statistical significance",287
"1212",2014,"fairly close to significance",1
"1213",2014,"fairly significant",4
"1214",2014,"fell just short of significance",6
"1215",2014,"fell just short of statistical significance",6
"1216",2014,"fell short of significance",31
"1217",2014,"indicative significance",1
"1218",2014,"just beyond significance",1
"1219",2014,"just borderline significant",1
"1220",2014,"just failed significance",1
"1221",2014,"just failed to be significant",1
"1222",2014,"just failed to reach statistical significance",20
"1223",2014,"just failing to reach statistical significance",1
"1224",2014,"just missing significance",1
"1225",2014,"just short of significance",10
"1226",2014,"likely to be significant",59
"1227",2014,"marginal significance",142
"1228",2014,"marginally insignificant",8
"1229",2014,"marginally nonsignificant",17
"1230",2014,"marginally significant",1330
"1231",2014,"marginally significant tendency",3
"1232",2014,"marginally statistically significant",51
"1233",2014,"moderately significant",31
"1234",2014,"modestly significant",6
"1235",2014,"narrowly missed significance",2
"1236",2014,"near significance",21
"1237",2014,"near to statistical significance",1
"1238",2014,"near-significant",88
"1239",2014,"nearing significance",12
"1240",2014,"nearly significant",182
"1241",2014,"nominally significant",180
"1242",2014,"not as significant",29
"1243",2014,"not completely significant",1
"1244",2014,"not conventionally significant",2
"1245",2014,"not formally significant",2
"1246",2014,"not fully significant",2
"1247",2014,"not quite reach the level of significance",1
"1248",2014,"not quite significant",27
"1249",2014,"not significant by conventional standards",1
"1250",2014,"not strictly significant",1
"1251",2014,"not strongly significant",1
"1252",2014,"not that significant",1
"1253",2014,"not very significant",5
"1254",2014,"not yet significant",3
"1255",2014,"on the border of significance",2
"1256",2014,"on the borderline of significance",5
"1257",2014,"on the cusp of significance",2
"1258",2014,"on the edge of significance",1
"1259",2014,"on the threshold of significance",1
"1260",2014,"only marginally significant",187
"1261",2014,"only slightly significant",2
"1262",2014,"partially significant",5
"1263",2014,"partly significant",3
"1264",2014,"possible significance",15
"1265",2014,"possibly significant",9
"1266",2014,"potentially significant",197
"1267",2014,"practically significant",26
"1268",2014,"probably not significant",6
"1269",2014,"probably not statistically significant",3
"1270",2014,"probably significant",6
"1271",2014,"quasi-significant",6
"1272",2014,"quite significant",57
"1273",2014,"reached borderline significance",20
"1274",2014,"reached near significance",1
"1275",2014,"reasonably significant",3
"1276",2014,"significant tendency",128
"1277",2014,"significant to some degree",1
"1278",2014,"significantly significant",17
"1279",2014,"slightly significant",33
"1280",2014,"strong trend toward significance",2
"1281",2014,"tend to significant",6
"1282",2014,"tended to be significant",47
"1283",2014,"tended toward significance",1
"1284",2014,"tendency toward significance",13
"1285",2014,"tendency toward statistical significance",4
"1286",2014,"trend bordering on statistical significance",1
"1287",2014,"trend significance level",1
"1288",2014,"trending towards significance",20
"1289",2014,"trending towards significant",3
"1290",2014,"uncertain significance",59
"1291",2014,"verging on significance",1
"1292",2014,"very close to significant",3
"1293",2014,"very narrowly missed significance",1
"1294",2014,"weak significance",4
"1295",2014,"weakly significant",20
"1296",2017,"a borderline significant trend",11
"1297",2017,"a certain trend toward significance",1
"1298",2017,"a clear trend",177
"1299",2017,"a decreasing trend",248
"1300",2017,"a definite trend",8
"1301",2017,"a distinct trend toward significance",3
"1302",2017,"a favorable trend",26
"1303",2017,"a marginal trend",20
"1304",2017,"a marginal trend toward significance",1
"1305",2017,"a marked trend",10
"1306",2017,"a mild trend",5
"1307",2017,"a near-significant trend",5
"1308",2017,"a negative trend",28
"1309",2017,"a nonsignificant trend",350
"1310",2017,"a notable trend",10
"1311",2017,"a numerical increasing trend",2
"1312",2017,"a numerical trend",34
"1313",2017,"a positive trend",187
"1314",2017,"a possible trend",35
"1315",2017,"a pronounced trend",1
"1316",2017,"a reliable trend",1
"1317",2017,"a significant trend",119
"1318",2017,"a slight trend",90
"1319",2017,"a slightly increasing trend",6
"1320",2017,"a small trend",25
"1321",2017,"a statistical trend",131
"1322",2017,"a statistical trend toward significance",1
"1323",2017,"a strong trend",185
"1324",2017,"a strong trend toward significance",3
"1325",2017,"a substantial trend toward significance",1
"1326",2017,"a suggestive trend",2
"1327",2017,"a trend close to significance",1
"1328",2017,"a weak trend",27
"1329",2017,"a weak trend toward significance",1
"1330",2017,"a worrying trend",1
"1331",2017,"all but significant",790
"1332",2017,"almost achieved significance",1
"1333",2017,"almost attained significance",1
"1334",2017,"almost insignificant",2
"1335",2017,"almost reached statistical significance",24
"1336",2017,"almost significant",71
"1337",2017,"almost statistically significant",10
"1338",2017,"an adverse trend",1
"1339",2017,"an apparent trend",17
"1340",2017,"an associative trend",1
"1341",2017,"an elevated trend",1
"1342",2017,"an encouraging trend",4
"1343",2017,"an evident trend",4
"1344",2017,"an expected trend",1
"1345",2017,"an important trend",5
"1346",2017,"an increasing trend",297
"1347",2017,"an interesting trend",13
"1348",2017,"an observed trend",5
"1349",2017,"an obvious trend",5
"1350",2017,"an overall trend",68
"1351",2017,"an unexpected trend",5
"1352",2017,"an unexplained trend",2
"1353",2017,"an unfavorable trend",1
"1354",2017,"appeared to be marginally significant",1
"1355",2017,"approached but fell short of significance",1
"1356",2017,"approached significant",8
"1357",2017,"approaches statistical significance",3
"1358",2017,"approaching clinical significance",4
"1359",2017,"approaching conventional statistical significance",1
"1360",2017,"approaching significance",127
"1361",2017,"arguably significant",1
"1362",2017,"at the edge of significance",2
"1363",2017,"at the limit of significance",9
"1364",2017,"at the margin of statistical significance",1
"1365",2017,"barely missed statistical significance",1
"1366",2017,"barely significant",15
"1367",2017,"better trends of improvement",1
"1368",2017,"borderline level of statistical significance",2
"1369",2017,"close to being significant",13
"1370",2017,"close to the level of significance",2
"1371",2017,"close to the limit of significance",2
"1372",2017,"closely significant",2
"1373",2017,"did not quite reach statistical significance",31
"1374",2017,"difference was apparent",25
"1375",2017,"failed to reach statistical significance",231
"1376",2017,"fairly close to significance",1
"1377",2017,"fairly significant",2
"1378",2017,"fell just short of significance",3
"1379",2017,"fell just short of statistical significance",7
"1380",2017,"fell short of significance",28
"1381",2017,"fell slightly short of significance",1
"1382",2017,"felt short of significance",1
"1383",2017,"indeterminate significance",2
"1384",2017,"just borderline significant",1
"1385",2017,"just failed significance",1
"1386",2017,"just failed to be significant",1
"1387",2017,"just failed to reach statistical significance",7
"1388",2017,"just failing to reach statistical significance",2
"1389",2017,"just missing significance",2
"1390",2017,"just outside the bounds of significance",1
"1391",2017,"just outside the level of significance",1
"1392",2017,"just over the limits of statistical significance",1
"1393",2017,"just short of significance",12
"1394",2017,"just shy of significance",1
"1395",2017,"likely to be significant",50
"1396",2017,"marginal significance",114
"1397",2017,"marginally insignificant",10
"1398",2017,"marginally nonsignificant",14
"1399",2017,"marginally significant",953
"1400",2017,"marginally significant tendency",1
"1401",2017,"marginally statistically significant",46
"1402",2017,"moderately significant",27
"1403",2017,"modestly significant",7
"1404",2017,"narrowly failed significance",1
"1405",2017,"narrowly missed significance",3
"1406",2017,"near significance",20
"1407",2017,"near-significant",74
"1408",2017,"nearing significance",11
"1409",2017,"nearly significant",122
"1410",2017,"nearly significant tendency",1
"1411",2017,"nominally significant",194
"1412",2017,"not as significant",30
"1413",2017,"not formally significant",3
"1414",2017,"not highly significant",4
"1415",2017,"not overly significant",1
"1416",2017,"not quite reach the level of significance",2
"1417",2017,"not quite significant",11
"1418",2017,"not significant by conventional standards",1
"1419",2017,"not strictly significant",2
"1420",2017,"not strongly significant",2
"1421",2017,"not that significant",2
"1422",2017,"not very significant",6
"1423",2017,"not yet significant",4
"1424",2017,"on the borderline of significance",1
"1425",2017,"on the cusp of significance",2
"1426",2017,"on the edge of significance",1
"1427",2017,"on the margin of significance",1
"1428",2017,"on the threshold of significance",1
"1429",2017,"only marginally significant",112
"1430",2017,"only slightly missed the level of significance",1
"1431",2017,"only slightly significant",1
"1432",2017,"partially significant",6
"1433",2017,"partly significant",1
"1434",2017,"possible significance",23
"1435",2017,"possibly significant",7
"1436",2017,"potentially significant",172
"1437",2017,"practically significant",21
"1438",2017,"probably not significant",1
"1439",2017,"probably significant",7
"1440",2017,"questionably significant",1
"1441",2017,"quite significant",45
"1442",2017,"reached borderline significance",13
"1443",2017,"reached near significance",3
"1444",2017,"reasonably significant",2
"1445",2017,"significant tendency",110
"1446",2017,"significantly significant",14
"1447",2017,"slight significance",2
"1448",2017,"slightly significant",29
"1449",2017,"somewhat significant",1
"1450",2017,"strong trend toward significance",3
"1451",2017,"suggestive of statistical significance",1
"1452",2017,"suggestively significant",1
"1453",2017,"technically not significant",1
"1454",2017,"tend to significant",3
"1455",2017,"tended to approach significance",1
"1456",2017,"tended to be significant",41
"1457",2017,"tended toward significance",8
"1458",2017,"tendency toward significance",4
"1459",2017,"tendency toward statistical significance",1
"1460",2017,"trend in the direction of significance",1
"1461",2017,"trend significance level",1
"1462",2017,"trending towards significance",25
"1463",2017,"trending towards significant",1
"1464",2017,"uncertain significance",100
"1465",2017,"very close to significant",3
"1466",2017,"very nearly significant",2
"1467",2017,"virtually significant",1
"1468",2017,"weak significance",4
"1469",2017,"weakly significant",18
"1470",2020,"a clear trend",4
"1471",2020,"a decreasing trend",6
"1472",2020,"a definite trend",1
"1473",2020,"a favorable trend",1
"1474",2020,"a marginal trend",1
"1475",2020,"a marginal trend toward significance",1
"1476",2020,"a negative trend",2
"1477",2020,"a nonsignificant trend",10
"1478",2020,"a notable trend",1
"1479",2020,"a numerical trend",2
"1480",2020,"a positive trend",8
"1481",2020,"a significant trend",4
"1482",2020,"a slight trend",4
"1483",2020,"a statistical trend",4
"1484",2020,"a strong trend",7
"1485",2020,"a weak trend",1
"1486",2020,"all but significant",22
"1487",2020,"almost reached statistical significance",2
"1488",2020,"almost significant",5
"1489",2020,"an apparent trend",1
"1490",2020,"an increasing trend",12
"1491",2020,"an observed trend",1
"1492",2020,"an overall trend",3
"1493",2020,"approached significant",1
"1494",2020,"approaching significance",5
"1495",2020,"borderline significant trends",1
"1496",2020,"closely significant",1
"1497",2020,"did not quite reach statistical significance",2
"1498",2020,"failed to reach statistical significance",8
"1499",2020,"fell just short of statistical significance",2
"1500",2020,"likely to be significant",2
"1501",2020,"marginal significance",2
"1502",2020,"marginally significant",33
"1503",2020,"nearly significant",4
"1504",2020,"nominally significant",7
"1505",2020,"not as significant",1
"1506",2020,"on the edge of significance",1
"1507",2020,"only marginally significant",6
"1508",2020,"potentially significant",7
"1509",2020,"probably significant",1
"1510",2020,"quite significant",1
"1511",2020,"significant tendency",5
"1512",2020,"tended to be significant",4
"1513",2020,"tendency toward significance",1
"1514",2020,"uncertain significance",5
