"","fill","y","ymin","ymax","x","PANEL","group","flipped_aes","xmin","xmax","colour","size","linetype","alpha"
"1","#999999",2.9595015576324,0,2.9595015576324,1,"1",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"2","#E69F00",65.8878504672897,0,65.8878504672897,2,"1",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"3","#56B4E9",31.1526479750779,0,31.1526479750779,3,"1",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"4","#999999",18,0,18,1,"2",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"5","#E69F00",63.5,0,63.5,2,"2",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"6","#56B4E9",18.5,0,18.5,3,"2",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"7","#999999",76.4900662251656,0,76.4900662251656,1,"3",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"8","#E69F00",18.2119205298013,0,18.2119205298013,2,"3",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"9","#56B4E9",5.29801324503311,0,5.29801324503311,3,"3",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"10","#999999",1.94174757281553,0,1.94174757281553,1,"4",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"11","#E69F00",77.9935275080906,0,77.9935275080906,2,"4",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"12","#56B4E9",20.0647249190939,0,20.0647249190939,3,"4",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"13","#999999",6.67976424361493,0,6.67976424361493,1,"5",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"14","#E69F00",88.0157170923379,0,88.0157170923379,2,"5",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"15","#56B4E9",5.30451866404715,0,5.30451866404715,3,"5",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"16","#999999",71.7110920034394,0,71.7110920034394,1,"6",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"17","#E69F00",27.3430782459157,0,27.3430782459157,2,"6",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"18","#56B4E9",0.945829750644884,0,0.945829750644884,3,"6",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"19","#E69F00",95.2830188679245,0,95.2830188679245,2,"7",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"20","#56B4E9",4.71698113207547,0,4.71698113207547,3,"7",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"21","#999999",4,0,4,1,"8",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"22","#E69F00",91.25,0,91.25,2,"8",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"23","#56B4E9",4.75,0,4.75,3,"8",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"24","#999999",41.7910447761194,0,41.7910447761194,1,"9",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"25","#E69F00",41.044776119403,0,41.044776119403,2,"9",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"26","#56B4E9",17.1641791044776,0,17.1641791044776,3,"9",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"27","#999999",6.01719197707736,0,6.01719197707736,1,"10",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"28","#E69F00",79.6561604584527,0,79.6561604584527,2,"10",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"29","#56B4E9",14.3266475644699,0,14.3266475644699,3,"10",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"30","#999999",2.23214285714286,0,2.23214285714286,1,"11",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"31","#E69F00",93.3035714285714,0,93.3035714285714,2,"11",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"32","#56B4E9",4.46428571428571,0,4.46428571428571,3,"11",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"33","#999999",3.31061343719572,0,3.31061343719572,1,"12",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"34","#E69F00",59.6884128529698,0,59.6884128529698,2,"12",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"35","#56B4E9",37.0009737098345,0,37.0009737098345,3,"12",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"36","#999999",1.70940170940171,0,1.70940170940171,1,"13",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"37","#E69F00",94.017094017094,0,94.017094017094,2,"13",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"38","#56B4E9",4.27350427350427,0,4.27350427350427,3,"13",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"39","#999999",12.6436781609195,0,12.6436781609195,1,"14",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"40","#E69F00",73.8505747126437,0,73.8505747126437,2,"14",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"41","#56B4E9",13.5057471264368,0,13.5057471264368,3,"14",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"42","#999999",8.81182490051165,0,8.81182490051165,1,"15",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"43","#E69F00",74.587833996589,0,74.587833996589,2,"15",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"44","#56B4E9",16.6003411028994,0,16.6003411028994,3,"15",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"45","#999999",9.67741935483871,0,9.67741935483871,1,"16",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"46","#E69F00",75.8064516129032,0,75.8064516129032,2,"16",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"47","#56B4E9",14.5161290322581,0,14.5161290322581,3,"16",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"48","#999999",4.6875,0,4.6875,1,"17",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"49","#E69F00",90.625,0,90.625,2,"17",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"50","#56B4E9",4.6875,0,4.6875,3,"17",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"51","#999999",5.12820512820513,0,5.12820512820513,1,"18",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"52","#E69F00",83.7606837606838,0,83.7606837606838,2,"18",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"53","#56B4E9",11.1111111111111,0,11.1111111111111,3,"18",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"54","#999999",3.1055900621118,0,3.1055900621118,1,"19",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"55","#E69F00",88.9751552795031,0,88.9751552795031,2,"19",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"56","#56B4E9",7.91925465838509,0,7.91925465838509,3,"19",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"57","#999999",52.5,0,52.5,1,"20",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"58","#E69F00",44.5833333333333,0,44.5833333333333,2,"20",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"59","#56B4E9",2.91666666666667,0,2.91666666666667,3,"20",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"60","#999999",2.28571428571429,0,2.28571428571429,1,"21",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"61","#E69F00",88,0,88,2,"21",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"62","#56B4E9",9.71428571428571,0,9.71428571428571,3,"21",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"63","#999999",7.56880733944954,0,7.56880733944954,1,"22",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"64","#E69F00",79.1284403669725,0,79.1284403669725,2,"22",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"65","#56B4E9",13.302752293578,0,13.302752293578,3,"22",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"66","#999999",9.375,0,9.375,1,"23",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"67","#E69F00",81.25,0,81.25,2,"23",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"68","#56B4E9",9.375,0,9.375,3,"23",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"69","#999999",18.3006535947712,0,18.3006535947712,1,"24",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"70","#E69F00",47.0588235294118,0,47.0588235294118,2,"24",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"71","#56B4E9",34.640522875817,0,34.640522875817,3,"24",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"72","#999999",12.9032258064516,0,12.9032258064516,1,"25",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"73","#E69F00",78.2258064516129,0,78.2258064516129,2,"25",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"74","#56B4E9",8.87096774193548,0,8.87096774193548,3,"25",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
